510.857,1,-24
511.131,1,-29
511.406,1,-40
511.680,1,-31
511.955,1,-26
512.229,1,-33
512.504,1,-33
512.779,1,-28
513.053,1,-37
513.328,1,-38
513.602,1,-28
513.877,1,-53
514.151,1,-27
514.426,1,-25
514.700,1,-29
514.975,1,-37
515.249,1,-28
515.523,1,-38
515.798,1,-41
516.072,1,-17
516.347,1,-39
516.621,1,-40
516.895,1,-36
517.170,1,-28
517.444,1,-27
517.719,1,-38
517.993,1,-29
518.267,1,-27
518.542,1,-22
518.816,1,-26
519.090,1,-47
519.364,1,-37
519.639,1,-31
519.913,1,-42
520.187,1,-45
520.462,1,-27
520.736,1,-35
521.010,1,-33
521.284,1,-40
521.558,1,-31
521.833,1,-47
522.107,1,-43
522.381,1,-34
522.655,1,-33
522.929,1,-37
523.204,1,-38
523.478,1,-29
523.752,1,-43
524.026,1,-49
524.300,1,-23
524.574,1,-41
524.848,1,-35
525.122,1,-40
525.396,1,-36
525.670,1,-44
525.944,1,-49
526.219,1,-39
526.493,1,-48
526.767,1,-35
527.041,1,-49
527.315,1,-29
527.589,1,-46
527.863,1,-42
528.137,1,-32
528.411,1,-45
528.684,1,-30
528.958,1,-32
529.232,1,-40
529.506,1,-47
529.780,1,-31
530.054,1,-40
530.328,1,-45
530.602,1,-42
530.876,1,-40
531.150,1,-54
531.423,1,-40
531.697,1,-41
531.971,1,-38
532.245,1,-41
532.519,1,-37
532.793,1,-38
533.066,1,-51
533.340,1,-52
533.614,1,-46
533.888,1,-46
534.161,1,-32
534.435,1,-40
534.709,1,-43
534.983,1,-38
535.256,1,-44
535.530,1,-49
535.804,1,-49
536.077,1,-37
536.351,1,-40
536.625,1,-48
536.898,1,-41
537.172,1,-49
537.446,1,-43
537.719,1,-50
537.993,1,-36
538.267,1,-44
538.540,1,-42
538.814,1,-34
539.087,1,-43
539.361,1,-50
539.634,1,-50
539.908,1,-50
540.181,1,-43
540.455,1,-38
540.728,1,-34
541.002,1,-43
541.275,1,-46
541.549,1,-42
541.822,1,-48
542.096,1,-50
542.369,1,-48
542.643,1,-50
542.916,1,-41
543.190,1,-38
543.463,1,-41
543.736,1,-41
544.010,1,-49
544.283,1,-35
544.557,1,-43
544.830,1,-52
545.103,1,-41
545.377,1,-52
545.650,1,-46
545.923,1,-41
546.197,1,-52
546.470,1,-43
546.743,1,-47
547.016,1,-37
547.290,1,-43
547.563,1,-54
547.836,1,-45
548.109,1,-35
548.383,1,-45
548.656,1,-36
548.929,1,-36
549.202,1,-49
549.475,1,-51
549.749,1,-48
550.022,1,-47
550.295,1,-34
550.568,1,-40
550.841,1,-43
551.114,1,-42
551.388,1,-43
551.661,1,-56
551.934,1,-42
552.207,1,-38
